id,split,question,answer,has_options
train_0,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_1,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_2,train,How is arthritis treated?,"aspirin, ibuprofen",True
train_3,train,How is arthritis treated?,"physical_therapy, antibiotics",True
train_4,train,What are the symptoms of cancer?,"headache, nausea, pain",True
train_5,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_6,train,How is cancer treated?,"antibiotics, surgery",True
train_7,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_8,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_9,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_10,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_11,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_12,train,How is hypertension treated?,"aspirin, antibiotics",True
train_13,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_14,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_15,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_16,train,How is influenza treated?,"ibuprofen, antivirals",True
train_17,train,What are the symptoms of influenza?,"headache, pain, nausea",True
train_18,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_19,train,How is arthritis treated?,"antibiotics, insulin",True
train_20,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_21,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_22,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_23,train,What are the symptoms of asthma?,"shortness_of_breath, fatigue, headache",True
train_24,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_25,train,How is cancer treated?,"physical_therapy, insulin",True
train_26,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_27,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_28,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_29,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_30,train,How is hypertension treated?,"aspirin, antibiotics",True
train_31,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_32,train,What are the symptoms of cancer?,"headache, shortness_of_breath, pain",True
train_33,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_34,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_35,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_36,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_37,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_38,train,What are the symptoms of depression?,"cough, dizziness, shortness_of_breath",True
train_39,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_40,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_41,train,What are the symptoms of diabetes?,"shortness_of_breath, cough, joint_pain",True
train_42,train,How is asthma treated?,"ibuprofen, aspirin",True
train_43,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_44,train,How is pneumonia treated?,"insulin, ibuprofen",True
train_45,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_46,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_47,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_48,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_49,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_50,train,What are the symptoms of cancer?,"nausea, joint_pain, pain",True
train_51,train,How is migraine treated?,"vaccination, physical_therapy",True
train_52,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_53,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_54,train,What are the symptoms of migraine?,"headache, pain, dizziness",True
train_55,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_56,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_57,train,What are the symptoms of asthma?,"joint_pain, fever, fatigue",True
train_58,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_59,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_60,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_61,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_62,train,What are the symptoms of diabetes?,"fever, fatigue, headache",True
train_63,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_64,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_65,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_66,train,How is asthma diagnosed?,asthma is diagnosed through clinical evaluation and laboratory tests.,True
train_67,train,What are the symptoms of asthma?,"headache, dizziness, shortness_of_breath",True
train_68,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_69,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_70,train,What are the symptoms of arthritis?,"shortness_of_breath, fatigue, pain",True
train_71,train,How is hypertension treated?,"insulin, antivirals",True
train_72,train,What are the risk factors for migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_73,train,How is stroke treated?,"chemotherapy, radiation",True
train_74,train,What are the symptoms of pneumonia?,"nausea, fever, chest_pain",True
train_75,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_76,train,How is cancer treated?,"physical_therapy, insulin",True
train_77,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_78,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_79,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_80,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_81,train,How is migraine diagnosed?,migraine is diagnosed through clinical evaluation and laboratory tests.,True
train_82,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_83,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_84,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_85,train,How is stroke treated?,"antibiotics, ibuprofen",True
train_86,train,What are the symptoms of stroke?,"joint_pain, cough, fatigue",True
train_87,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_88,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
train_89,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_90,train,What are the symptoms of arthritis?,"joint_pain, cough, headache",True
train_91,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_92,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_93,train,How is migraine treated?,"aspirin, surgery",True
train_94,train,How is asthma treated?,"chemotherapy, radiation",True
train_95,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_96,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_97,train,What are the symptoms of diabetes?,"dizziness, chest_pain, headache",True
train_98,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_99,train,How is asthma treated?,"surgery, vaccination",True
train_100,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_101,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_102,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_103,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_104,train,How is influenza diagnosed?,influenza is diagnosed through clinical evaluation and laboratory tests.,True
train_105,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_106,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_107,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_108,train,What causes cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_109,train,What causes diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_110,train,How is pneumonia treated?,"ibuprofen, antibiotics",True
train_111,train,What are the symptoms of migraine?,"joint_pain, headache, shortness_of_breath",True
train_112,train,What are the symptoms of asthma?,"nausea, pain, shortness_of_breath",True
train_113,train,What causes pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_114,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_115,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_116,train,How is cancer diagnosed?,cancer is diagnosed through clinical evaluation and laboratory tests.,True
train_117,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_118,train,What are the symptoms of arthritis?,"chest_pain, fatigue, cough",True
train_119,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_120,train,How is cancer treated?,"antibiotics, physical_therapy",True
train_121,train,What causes hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_122,train,How is stroke treated?,"antivirals, radiation",True
train_123,train,What are the symptoms of migraine?,"shortness_of_breath, fever, headache",True
train_124,train,How is stroke treated?,"aspirin, physical_therapy",True
train_125,train,How is pneumonia diagnosed?,pneumonia is diagnosed through clinical evaluation and laboratory tests.,True
train_126,train,What are the risk factors for influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_127,train,What are the symptoms of cancer?,"joint_pain, headache, pain",True
train_128,train,How is arthritis treated?,"ibuprofen, aspirin",True
train_129,train,What are the symptoms of pneumonia?,"cough, dizziness, fatigue",True
train_130,train,What are the symptoms of migraine?,"fever, cough, headache",True
train_131,train,How is pneumonia treated?,"chemotherapy, physical_therapy",True
train_132,train,What are the symptoms of diabetes?,"cough, nausea, headache",True
train_133,train,How is depression treated?,"surgery, vaccination",True
train_134,train,What are the symptoms of arthritis?,"pain, fatigue, shortness_of_breath",True
train_135,train,What causes cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_136,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_137,train,How is diabetes treated?,"ibuprofen, vaccination",True
train_138,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_139,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_140,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_141,train,How is stroke treated?,"ibuprofen, antivirals",True
train_142,train,What are the symptoms of pneumonia?,"joint_pain, cough, nausea",True
train_143,train,What causes depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_144,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_145,train,How is diabetes diagnosed?,diabetes is diagnosed through clinical evaluation and laboratory tests.,True
train_146,train,What causes arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_147,train,What are the symptoms of cancer?,"fever, joint_pain, fatigue",True
train_148,train,How is hypertension treated?,"aspirin, antivirals",True
train_149,train,What are the symptoms of cancer?,"fatigue, chest_pain, joint_pain",True
train_150,train,How is diabetes treated?,"antibiotics, physical_therapy",True
train_151,train,What are the symptoms of asthma?,"headache, nausea, fever",True
train_152,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_153,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_154,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_155,train,What are the risk factors for asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_156,train,How is arthritis treated?,"antivirals, antibiotics",True
train_157,train,What are the symptoms of hypertension?,"shortness_of_breath, fatigue, nausea",True
train_158,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_159,train,What are the symptoms of diabetes?,"fever, pain, joint_pain",True
train_160,train,How is influenza treated?,"antivirals, ibuprofen",True
train_161,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_162,train,What are the symptoms of asthma?,"chest_pain, shortness_of_breath, joint_pain",True
train_163,train,What are the symptoms of cancer?,"nausea, shortness_of_breath, dizziness",True
train_164,train,How is pneumonia treated?,"chemotherapy, insulin",True
train_165,train,How is pneumonia treated?,"vaccination, physical_therapy",True
train_166,train,What are the risk factors for depression?,"Genetic factors, lifestyle, and environmental factors contribute to depression.",True
train_167,train,How is depression diagnosed?,depression is diagnosed through clinical evaluation and laboratory tests.,True
train_168,train,What are the symptoms of influenza?,"fever, headache, shortness_of_breath",True
train_169,train,How is hypertension diagnosed?,hypertension is diagnosed through clinical evaluation and laboratory tests.,True
train_170,train,What are the symptoms of pneumonia?,"dizziness, pain, fatigue",True
train_171,train,What causes stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_172,train,How is arthritis treated?,"ibuprofen, insulin",True
train_173,train,What are the risk factors for stroke?,"Genetic factors, lifestyle, and environmental factors contribute to stroke.",True
train_174,train,What are the risk factors for pneumonia?,"Genetic factors, lifestyle, and environmental factors contribute to pneumonia.",True
train_175,train,What are the symptoms of asthma?,"cough, fever, joint_pain",True
train_176,train,How is influenza treated?,"ibuprofen, vaccination",True
train_177,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_178,train,What are the risk factors for diabetes?,"Genetic factors, lifestyle, and environmental factors contribute to diabetes.",True
train_179,train,What are the risk factors for hypertension?,"Genetic factors, lifestyle, and environmental factors contribute to hypertension.",True
train_180,train,What causes influenza?,"Genetic factors, lifestyle, and environmental factors contribute to influenza.",True
train_181,train,How is cancer treated?,"ibuprofen, surgery",True
train_182,train,How is arthritis diagnosed?,arthritis is diagnosed through clinical evaluation and laboratory tests.,True
train_183,train,What are the risk factors for asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_184,train,What are the risk factors for arthritis?,"Genetic factors, lifestyle, and environmental factors contribute to arthritis.",True
train_185,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_186,train,How is stroke diagnosed?,stroke is diagnosed through clinical evaluation and laboratory tests.,True
train_187,train,What are the risk factors for cancer?,"Genetic factors, lifestyle, and environmental factors contribute to cancer.",True
train_188,train,What are the symptoms of stroke?,"pain, fatigue, joint_pain",True
train_189,train,What are the symptoms of migraine?,"nausea, shortness_of_breath, cough",True
train_190,train,What causes asthma?,"Genetic factors, lifestyle, and environmental factors contribute to asthma.",True
train_191,train,What causes migraine?,"Genetic factors, lifestyle, and environmental factors contribute to migraine.",True
